"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1300","ATKR",0.223331,32.08,17.47,1484300920,3500,24.17,27.83,45463978.879,299988.8,320560.1,2.6135,NA,"Atkore International Group, Inc.",46559000,0.568125,0.568125,-0.051059,0.223331,0.551338,0.415631,0.2752,0.105026,0.215402,0.072678,NA,"2019-11-28",NA,12.2,1.35953507508833,NA
"1301","AT",0.15814,3.02,2.07,272361180,230,2.41,2.39,105694732.78,250523.4,243591.6,0.2892,NA,"Atlantic Power Corp.",109382000,-0.966135,-0.257669,0.008333,0.15814,0.142202,-0.042308,0.055085,0.059574,0.082609,0.046218,NA,"2019-11-07","2015-11-25",8.61,0.679100786454006,NA
"1302","ATO",0.161866,111.9,87.88,13015112110,4628,101.81,108.77,116886132.076,763959.9,711373.5,4.237,2.06,"Atmos Energy Corp.",118201000,3.764679,0.997674,0.25821,0.161866,0.225487,0.07951,0.051169,-0.006944,0.029643,0.01204,0.0187085641631096,"2019-11-06","2019-08-23",25.99,0.271671754866739,NA
"1303","AUO",-0.349057,4.35,2.16,NA,52241,3.33,2.6,962404789.075,1869869.3,1201064.27,-0.0581,NA,"AU Optronics Corp.",NA,-0.156427,-0.089474,-0.059783,-0.349057,-0.295918,-0.252033,-0.034965,0.112903,0.135802,0.014706,NA,"2019-10-28",NA,-47.5,0.668718162589637,NA
"1304","ACB",-0.250344,10.32,4.58,5606742000,2779,7.24,6.31,985017124.8,16916384.9,13931419.17,-0.2093,NA,"Aurora Cannabis, Inc.",1028760000,0.221458,0.221458,0.221458,-0.250344,0.040076,-0.45171,-0.282895,-0.066781,-0.119548,-0.132166,NA,"2019-10-28",NA,-26.04,0.0564471204848534,NA
"1305","ATHM",0.235132,117.99,61.42,NA,4335,88.54,84.63,118381330.065,764480.4,745118.5,3.8958,NA,"Autohome, Inc.",NA,2.798138,2.880734,2.15149,0.235132,0.230598,-0.008346,0.107349,0.106827,0.188679,-0.010436,NA,"2019-11-06","2018-01-03",24.1,1.31265369068427,NA
"1306","ALV",-0.092561,95.82,61.07,6927251940,58000,73.98,70.07,87088231.986,583628.8,475765.3,2.8344,2.48,"Autoliv, Inc.",87234000,2.880821,-0.243829,-0.245375,-0.092561,0.127823,0.010562,0.227167,0.199728,0.176444,0.002525,0.0312303236368216,"2019-10-25","2019-11-19",28.02,1.16903395057671,"2019-11-19"
"1307","AN",0.160809,52.56,32.83,4500959750,26000,39.98,46.86,78138104.275,695030.1,648532.97,4.4065,NA,"AutoNation, Inc.",89075000,2.2625,-0.220459,0.025037,0.160809,0.401664,0.501188,0.212041,0.062671,0.063118,-0.028643,NA,"2019-10-31",NA,11.47,0.608850437396714,NA
"1308","AZO",0.512548,1186.6,705.01,27733959140,90000,1001.32,1120.61,24347657.103,253776.5,268050.77,57.04,NA,"AutoZone, Inc.",24529000,13.829353,0.964621,0.451647,0.512548,0.348464,0.15895,0.005603,0.032095,0.06373,-0.018993,NA,"2019-09-24",NA,19.82,0.326843873536041,NA
"1309","AVLR",0.74121,94.31,28.09,5495890400,1592,60.04,82.42,62731814.266,1404503.6,1246814.73,-0.9577,NA,"Avalara, Inc.",75493000,0.321985,0.321985,0.321985,0.74121,1.25387,0.33578,0.048236,-0.144234,-0.060645,0.01918,NA,"2019-11-06",NA,-76.02,1.33897950759532,NA
"1310","AVB",0.136253,216.8,167.01,29314004300,3087,198.5,208.64,139200880.238,656503,597194.53,6.6106,5.98,"AvalonBay Communities, Inc.",139657000,4.321571,0.441809,0.045398,0.136253,0.240544,0.064402,0.001288,0.010544,0.046257,-0.001665,0.0284897570271558,"2019-11-04","2019-06-27",31.75,0.41365562223782,NA
"1311","AGR",0.021704,53.47,45.81,15709814200,6449,50.14,49.91,55467942.525,443172.1,439219.57,1.845,1.76,"Avangrid, Inc.",309005000,0.699492,0.398107,0.138001,0.021704,0.044157,0.027071,-0.010317,0.027901,0.032913,0.018022,0.034618410700236,"2019-10-22","2019-09-05",27.56,0.218695558369153,NA
